SKU_ID,Month,On_Hand_Qty,On_Order_Qty,UOM,Warehouse,UOM_Clean,On_Order_Missing_Flag,On_Order_Qty_Clean
MM-1000,2025-08,331,117.0,PCS,WH-OHIO,PCS,0,117.0
MM-1000,2025-09,392,118.0,pcs,WH-OHIO,PCS,0,118.0
MM-1000,2025-10,324,19.0,pcs,WH-OHIO,PCS,0,19.0
MM-1000,2025-11,380,75.0,pcs,WH-OHIO,PCS,0,75.0
MM-1000,2025-12,499,5.0,Pcs,WH-OHIO,PCS,0,5.0
MM-1000,2026-01,471,259.0,PCS,WH-OHIO,PCS,0,259.0
MM-1000,2026-02,404,150.0,Pcs,WH-OHIO,PCS,0,150.0
MM-1000,2026-03,595,242.0,PCS,WH-OHIO,PCS,0,242.0
MM-1000,2026-04,516,247.0,Pcs,WH-OHIO,PCS,0,247.0
MM-1000,2026-05,351,19.0,Pcs,WH-OHIO,PCS,0,19.0
MM-1000,2026-06,0,149.0,pcs,WH-OHIO,PCS,0,149.0
MM-1000,2026-07,400,32.0,PCS,WH-OHIO,PCS,0,32.0
MM-1001,2025-08,0,259.0,ea.,WH-NEVADA,EA,0,259.0
MM-1001,2025-09,0,240.0,ea.,WH-NEVADA,EA,0,240.0
MM-1001,2025-10,0,,ea.,WH-NEVADA,EA,1,0.0
MM-1001,2025-11,334,115.0,EA,WH-NEVADA,EA,0,115.0
MM-1001,2025-12,0,60.0,Each,WH-NEVADA,EA,0,60.0
MM-1001,2026-01,302,220.0,Each,WH-NEVADA,EA,0,220.0
MM-1001,2026-02,0,49.0,EA,WH-NEVADA,EA,0,49.0
MM-1001,2026-03,0,194.0,ea.,WH-NEVADA,EA,0,194.0
MM-1001,2026-04,347,11.0,EA,WH-NEVADA,EA,0,11.0
MM-1001,2026-05,473,,each,WH-NEVADA,EA,1,0.0
MM-1001,2026-06,496,211.0,EA,WH-NEVADA,EA,0,211.0
MM-1001,2026-07,486,164.0,each,WH-NEVADA,EA,0,164.0
MM-1002,2025-08,384,200.0,each,WH-NEVADA,EA,0,200.0
MM-1002,2025-09,426,133.0,EA,WH-NEVADA,EA,0,133.0
MM-1002,2025-10,0,,ea.,WH-NEVADA,EA,1,0.0
MM-1002,2025-11,687,240.0,each,WH-NEVADA,EA,0,240.0
MM-1002,2025-12,642,128.0,ea.,WH-NEVADA,EA,0,128.0
MM-1002,2026-01,641,189.0,each,WH-NEVADA,EA,0,189.0
MM-1002,2026-02,638,53.0,ea.,WH-NEVADA,EA,0,53.0
MM-1002,2026-03,0,214.0,ea.,WH-NEVADA,EA,0,214.0
MM-1002,2026-04,380,154.0,Each,WH-NEVADA,EA,0,154.0
MM-1002,2026-05,667,227.0,ea.,WH-NEVADA,EA,0,227.0
MM-1002,2026-06,573,,EA,WH-NEVADA,EA,1,0.0
MM-1002,2026-07,0,,ea.,WH-NEVADA,EA,1,0.0
MM-1003,2025-08,1841,162.0,each,WH-OHIO,EA,0,162.0
MM-1003,2025-09,1872,303.0,Each,WH-OHIO,EA,0,303.0
MM-1003,2025-10,0,168.0,Each,WH-OHIO,EA,0,168.0
MM-1003,2025-11,2406,158.0,ea.,WH-OHIO,EA,0,158.0
MM-1003,2025-12,2269,,ea.,WH-OHIO,EA,1,0.0
MM-1003,2026-01,2400,260.0,ea.,WH-OHIO,EA,0,260.0
MM-1003,2026-02,1962,18.0,Each,WH-OHIO,EA,0,18.0
MM-1003,2026-03,1962,,EA,WH-OHIO,EA,1,0.0
MM-1003,2026-04,2384,286.0,each,WH-OHIO,EA,0,286.0
MM-1003,2026-05,1874,21.0,Each,WH-OHIO,EA,0,21.0
MM-1003,2026-06,1917,39.0,EA,WH-OHIO,EA,0,39.0
MM-1003,2026-07,1982,222.0,Each,WH-OHIO,EA,0,222.0
MM-1004,2025-08,768,65.0,ea.,WH-OHIO,EA,0,65.0
MM-1004,2025-09,0,18.0,Each,WH-OHIO,EA,0,18.0
MM-1004,2025-10,965,172.0,ea.,WH-OHIO,EA,0,172.0
MM-1004,2025-11,642,233.0,ea.,WH-OHIO,EA,0,233.0
MM-1004,2025-12,585,208.0,ea.,WH-OHIO,EA,0,208.0
MM-1004,2026-01,728,42.0,Each,WH-OHIO,EA,0,42.0
MM-1004,2026-02,800,256.0,each,WH-OHIO,EA,0,256.0
MM-1004,2026-03,939,,ea.,WH-OHIO,EA,1,0.0
